Enabled;Field No.;Field Name;Caption;Data Type;Length;Description;Field Class;Option String
Yes;25006670;Item Type;<Item Type>;Option;;;Normal; ,Item,Model Version
Yes;25006671;Replacement Status;<Replacement Status>;Option;;;Normal; ,Replaced
Yes;25006673;Replacements Exist;<Replacements Exist>;Boolean;;P15;FlowField;
Yes;25006676;Qty. on Service Order EDMS;<Qty. on Service Order EDMS>;Decimal;;;FlowField;
Yes;25006678;Res. Qty. on Serv. Orders EDMS;<Res. Qty. on Serv. Orders EDMS>;Decimal;;;FlowField;
Yes;25006680;Seasonal Factor Code;<Seasonal Factor Code>;Code;10;;Normal;
Yes;25006690;Exchange Unit;<Exchange Unit>;Boolean;;;Normal;
Yes;25006750;Returnable;<Returnable>;Boolean;;;Normal;
Yes;25006760;Discontinued;<Discontinued>;Boolean;;;FlowField;
Yes;25006770;ABC Category;<ABC Category>;Option;;;Normal; ,A,B,C
Yes;25006771;Sales Entries;<Sales Entries>;Integer;;;FlowField;
Yes;25006772;Sales Return Entries;<Sales Return Entries>;Integer;;;FlowField;
Yes;25006773;Nonstock Entry No.;<Nonstock Entry No.>;Code;20;;FlowField;
Yes;25006900;Item Price Group Code;<Item Price Group Code>;Code;10;;Normal;
Yes;99000750;Routing No.;N° gamme;Code;20;;Normal;
Yes;99000751;Production BOM No.;N° nomenclature production;Code;20;;Normal;
Yes;99000752;Single-Level Material Cost;Coût matière mono-niveau;Decimal;;;Normal;
Yes;99000753;Single-Level Capacity Cost;Coût opératoire mono-niveau;Decimal;;;Normal;
Yes;99000754;Single-Level Subcontrd. Cost;Coût s/traitance mono-niveau;Decimal;;;Normal;
Yes;99000755;Single-Level Cap. Ovhd Cost;Frais gén. opérat. mono-niv.;Decimal;;;Normal;
Yes;99000756;Single-Level Mfg. Ovhd Cost;Frais gén. matière mono-niv.;Decimal;;;Normal;
Yes;99000757;Overhead Rate;Frais généraux;Decimal;;;Normal;
Yes;99000758;Rolled-up Subcontracted Cost;Coût s/traitance multi-niv.;Decimal;;;Normal;
Yes;99000759;Rolled-up Mfg. Ovhd Cost;Frais gén. matière multi-niv.;Decimal;;;Normal;
Yes;99000760;Rolled-up Cap. Overhead Cost;Frais gén. opérat. multi-niv.;Decimal;;;Normal;
Yes;99000761;Planning Issues (Qty.);Sorties planning (qté);Decimal;;;FlowField;
Yes;99000762;Planning Receipt (Qty.);Réception planning (qté);Decimal;;;FlowField;
Yes;99000765;Planned Order Receipt (Qty.);Réception ordre planifiée (qté);Decimal;;;FlowField;
Yes;99000766;FP Order Receipt (Qty.);Récep. ordre plan. ferme (qté);Decimal;;;FlowField;
Yes;99000767;Rel. Order Receipt (Qty.);Réception ordre lancé (qté);Decimal;;;FlowField;
Yes;99000768;Planning Release (Qty.);Lancement planning (qté);Decimal;;;FlowField;
Yes;99000769;Planned Order Release (Qty.);Lancement ordre planifié (qté);Decimal;;;FlowField;
Yes;99000770;Purch. Req. Receipt (Qty.);Réception dem. achat (qté);Decimal;;;FlowField;
Yes;99000771;Purch. Req. Release (Qty.);Lancement dem. achat (qté);Decimal;;;FlowField;
Yes;99000773;Order Tracking Policy;Chaînage dynamique;Option;;;Normal;None,Tracking Only,Tracking & Action Msg.
Yes;99000774;Prod. Forecast Quantity (Base);Qté prévision prod. (base);Decimal;;;FlowField;
Yes;99000775;Production Forecast Name;Nom prévision production;Code;10;;FlowFilter;
Yes;99000776;Component Forecast;Prévision composant;Boolean;;;FlowFilter;
Yes;99000777;Qty. on Prod. Order;Qté sur ordre fabrication;Decimal;;;FlowField;
Yes;99000778;Qty. on Component Lines;Qté sur lignes composant;Decimal;;;FlowField;
Yes;99000875;Critical;Critique;Boolean;;;Normal;
Yes;99008500;Common Item No.;N° article commun;Code;20;;Normal;
